a_authorkey,a_authorname
95,Fyodor Dostoevsky
96,Barbara Kingsolver
97,Maya Angelou
98,Joseph Smith Jr.
99,Herman Melville
100,Dan Brown
101,Charles Dickens
102,Pearl S. Buck
103,Corrie ten Boom
104,Bram Stoker
105,Madeleine L'Engle
106,John Green
107,Roald Dahl
108,Stephen Chbosky
109,Aldous Huxley
110,Jane Austen
111,William Goldman
112,Homer
113,John Steinbeck
114,Wilson Rawls
115,Edgar Allan Poe
116,Viktor E. Frankl
117,Dr. Seuss
118,Suzanne Collins
119,Mark Haddon
120,Founding Fathers
121,George R.R. Martin
122,Richard  Adams
123,Sylvia Plath
124,Roald Dahl
125,Randy Pausch
126,Daphne du Maurier
127,Margery Williams Bianco
128,Frank Herbert
129,Agatha Christie
130,Ayn Rand
131,Alice Sebold
132,Jane Carruth
133,Jack London
134,Stieg Larsson
135,J.R.R. Tolkien
136,Mitch Albom
137,George Orwell
138,Patrick SÃ¼skind
139,Frank McCourt
140,L. Frank Baum
141,J.R.R. Tolkien
142,Robert Munsch
143,Katherine Paterson
144,John Irving
145,Cormac McCarthy
146,Dante Alighieri
147,William Shakespeare
148,Sergio Cobo
149,Kahlil Gibran
150,Jane Austen
151,Umberto Eco
152,Alexandre Dumas
153,Sara Gruen
154,Philip Pullman
155,John Boyne
156,Ken Follett
157,Dr. Seuss
158,Richard Bach
159,Charles Dickens
160,Sue Monk Kidd
161,Nicholas Sparks
162,Mikhail Bulgakov
163,Suzanne Collins
164,Arthur Conan Doyle
165,Truman Capote
166,Arthur  Miller
167,Joseph Conrad
168,Carlos Ruiz ZafÃ³n
169,Anita Diamant
170,Gabriel GarcÃ­a MÃ¡rquez
171,Jeannette Walls
172,O. Henry
173,Milan Kundera
174,Elizabeth Gilbert
175,Anne Rice
176,Geoffrey Chaucer
177,Jack Kerouac
178,Sun Tzu
179,Aesop
180,C.S. Lewis
181,Chuck Palahniuk
182,J.R.R. Tolkien
183,Robert Louis Stevenson
184,Jonathan Swift
185,Mario Puzo
186,Daniel Defoe
187,Henry David Thoreau
188,Charles Darwin
189,Ralph Ellison
190,Jane Austen
191,NiccolÃ² Machiavelli
192,Jostein Gaarder
193,Jacob Grimm
194,Franz Kafka
195,H.G. Wells
196,Alan Moore
197,Alex Haley
198,Voltaire
199,Toni Morrison
200,Ian McEwan
201,Beatrice Sparks
202,Jodi Picoult
203,Natalie Babbitt
204,Robert A. Heinlein
205,Ernest Hemingway
206,Veronica Roth
207,Marion Zimmer Bradley
208,C.S. Lewis
209,Beatrix Potter
210,Norton Juster
211,Tim O'Brien
212,Rick Riordan
213,Agatha Christie
214,Lois Lowry
215,Founding Fathers
216,Dee Brown
217,Roald Dahl
218,Art Spiegelman
219,Douglas Adams
220,Jeffrey Eugenides
221,Thomas Keneally
222,Malcolm X
223,Bill Watterson
224,Frances Hodgson Burnett
225,Dave Pelzer
226,Greg Mortenson
227,Walt Whitman
228,Jon Krakauer
229,Zora Neale Hurston
230,Kenneth Grahame
231,Laurie Halse Anderson
232,J.M. Barrie
233,Plato
234,Howard Zinn
235,John Irving
236,Neil Gaiman
237,Louis Sachar
238,John Green
239,Helen Keller
240,Ki Longfellow
241,Chinua Achebe
242,Arthur Conan Doyle
243,Bill Bryson
244,Terry Pratchett
245,Jerry Weaver
246,Stephen Hawking
247,Ø³ÛŒØ¯ Ù…Ø±ØªØ¶ÛŒ Ù…ØµØ·ÙÙˆÛŒ
248,Scott O'Dell
249,Ernest Hemingway
250,Kurt Vonnegut Jr.
251,John Knowles
252,JosÃ© Saramago
253,Hans Christian Andersen
254,Edgar Allan Poe
255,William Paul Young
256,Richard Dawkins
257,Fannie Flagg
258,Gustave Flaubert
259,Amy Tan
260,Lao Tzu
261,William Styron
262,Michael Ende
263,John Kennedy Toole
264,Kazuo Ishiguro
265,Dale Carnegie
266,Jonathan Safran Foer
267,Ki Longfellow
268,Jean M. Auel
269,Jared Diamond
270,Dan Brown
271,Thomas Hardy
272,Alice Walker
273,Diana Gabaldon
274,Stephenie Meyer
275,Benjamin Hoff
276,Aleksandr Solzhenitsyn
277,Stephen R. Covey
278,James Joyce
279,Shel Silverstein
280,Barbara Ehrenreich
281,Stephenie Meyer
282,Upton Sinclair
283,Larry McMurtry
284,Patrick Rothfuss
285,Gaston Leroux
286,John Milton
287,Dr. Seuss
288,Arundhati Roy
289,James Herriot
290,Judy Blume
291,Stephen King
292,Homer
293,Isabel Allende
294,Robert Louis Stevenson
295,Stephen King
296,Alan Moore
297,William Shakespeare
298,Stephenie Meyer
299,Isaac Asimov
300,William Shakespeare
301,Laura Ingalls Wilder
302,Neil Gaiman
303,Mary Ann Shaffer
304,William Strunk Jr.
305,Oscar Wilde
306,J.K. Rowling
307,Ernest Hemingway
308,Charles Dickens
309,Laura Hillenbrand
310,Stieg Larsson
311,Colleen McCullough
312,Robert M. Pirsig
313,Arthur  Miller
314,Bill Bryson
315,William Shakespeare
316,Karl Marx
317,Unknown
318,Haruki Murakami
319,Gregory Maguire
320,Stephen King
321,Emma Donoghue
322,Rohinton Mistry
323,Christopher Paolini
324,Chaim Potok
325,Jay Asher
326,Tim Butcher
327,Kate Chopin
328,Ray Bradbury
329,Bernhard Schlink
330,Spencer Johnson
331,Albert Camus
332,Stephenie Meyer
333,Christopher Moore
334,Bill Watterson
335,Alan Paton
336,Philip K. Dick
337,Anonymous
338,William Shakespeare
339,R.D. Ronald
340,Hermann Hesse
341,Stieg Larsson
342,Johann Wolfgang von Goethe
343,Dalton Trumbo
344,John Irving
345,Sophocles
346,Dante Alighieri
347,John Bunyan
348,Haruki Murakami
349,James Clavell
350,N.H. Kleinbaum
351,Hunter S. Thompson
352,A.A. Milne
353,Thomas Paine
354,Ray Bradbury
355,Michael Crichton
356,Sophocles
357,Gillian Flynn
358,Bryce Courtenay
359,Gary Paulsen
360,Nicholas Sparks
361,R.J. Palacio
362,Marjane Satrapi
363,Gregory David Roberts
364,Garth Stein
365,Cassandra Clare
366,Philip Pullman
367,Rachel Carson
368,David Mitchell
369,Rebecca Skloot
370,Carl Sagan
371,R.D. Ronald
372,Richard Wright
373,Tennessee Williams
374,Samuel Beckett
375,Tracy Chevalier
376,T.H. White
377,Miguel Ruiz
378,Fred Gipson
379,Johanna Spyri
380,Tim Butcher
381,Fyodor Dostoevsky
382,Jules Verne
383,Bret Easton Ellis
384,Anna Sewell
385,Frederick Douglass
386,Steven D. Levitt
387,Anonymous
388,Erin Morgenstern
389,Emily Dickinson
390,Virginia Woolf
391,Rudyard Kipling
392,E.L. Konigsburg
393,H.G. Wells
394,Laura Ingalls Wilder
395,Cornelia Funke
396,William Faulkner
397,Jane Austen
398,Willa Cather
399,Anthony Doerr
400,Astrid Lindgren
401,Jerry Spinelli
402,Anonymous
403,Jean-Dominique Bauby
404,Toni Morrison
405,Truman Capote
406,Ayn Rand
407,Carson McCullers
408,Dalai Lama XIV
409,Kazuo Ishiguro
410,Diana Wynne Jones
411,Diane Setterfield
412,Jack London
413,John Grogan
414,Diana   Forbes
415,Lisa Genova
416,Wally Lamb
417,John Grisham
418,Ki Longfellow
419,Jules Verne
420,C.S. Lewis
421,William Shakespeare
422,George Eliot
423,Haruki Murakami
424,Jane Austen
425,Michael Pollan
426,Stephen King
427,Tatiana de Rosnay
428,Victor Hugo
429,Fyodor Dostoevsky
430,Eric Schlosser
431,Paulo Coelho
432,Kurt Vonnegut Jr.
433,Wally Lamb
434,Isaac Asimov
435,James Joyce
436,Joseph Campbell
437,Ursula K. Le Guin
438,Donna Tartt
439,Harold Bloom
440,Helen Fielding
441,Max Brooks
442,C.S. Lewis
443,Daniel Quinn
444,Irvine Welsh
445,Janet Fitch
446,Stephen King
447,Lisa See
448,Philip Pullman
449,Rick Warren
450,Mark Twain
451,Gary Chapman
452,Andy Weir
453,Benjamin Franklin
454,William Shakespeare
455,Richard Dawkins
456,Michael Chabon
457,Johnathon Nicolaou
458,Charlotte Perkins Gilman
459,William L. Shirer
460,Pat Conroy
461,George R.R. Martin
462,Suzanne Collins
463,Charles Frazier
464,Virginia Woolf
465,Kim Edwards
466,Malcolm Gladwell
467,D.H. Lawrence
468,Eckhart Tolle
469,Roald Dahl
470,Virginia Woolf
471,Ayaan Hirsi Ali
472,Ø£Ø´Ø±Ù Ø§Ù„Ø¹Ø´Ù…Ø§ÙˆÙŠ
473,Peggy Parish
474,Robert Jordan
475,Misba
476,Nevil Shute
477,Walter Scott
478,Johnathon Nicolaou
479,Laura Esquivel
480,Jon Scieszka
481,Elizabeth George Speare
482,Erik Larson
483,Eoin Colfer
484,Christopher Hitchens
485,Ben Peller
486,Roald Dahl
487,Flora Rheta Schreiber
488,Thomas  Harris
489,Malcolm Gladwell
490,Ursula K. Le Guin
491,Misba
492,Juddy Anderson C. Punzalan
493,Misba
494,Lionel Shriver
495,Michael Shaara
496,Jean Craighead George
497,Misba
498,J.D. Salinger
499,Jung Chang
500,Judith Viorst
501,Yuval Noah Harari
502,Johnathon Nicolaou
503,Iain Banks
504,Sam McBratney
505,Virgil
506,Richard Bach
507,Alb Imeri
508,John Berendt
509,Ken Follett
510,J.R.R. Tolkien
511,Neil Gaiman
512,Arthur C. Clarke
513,Juddy Anderson C. Punzalan
514,Stephen King
515,Philippa Gregory
516,Salman Rushdie
517,Edmond Rostand
518,Arthur Conan Doyle
519,Jonathan Safran Foer
520,Susan Cain
521,Salman Rushdie
522,George R.R. Martin
523,Alexander Hamilton
524,Friedrich Nietzsche
525,Boris Pasternak
526,Richard Carlson
527,Primo Levi
528,George Eliot
529,David Guterson
530,Shirley Jackson
531,William Shakespeare
532,Vincent Bugliosi
533,Michael Ondaatje
534,Rick Riordan
535,Kyle Keyes
536,Hubert Selby Jr.
537,Jules Verne
538,Ann Patchett
539,Ray Bradbury
540,Jon Krakauer
541,Ø³ÛŒØ¯ Ù…Ø±ØªØ¶ÛŒ Ù…ØµØ·ÙÙˆÛŒ
542,Marcus Aurelius
543,J.K. Rowling
544,Junot DÃ­az
545,Sandra Cisneros
546,Stephen King
547,Diamante Lavendar
548,Paula Hawkins
549,M. Scott Peck
550,James Dashner
551,Edgar Allan Poe
552,Emmuska Orczy
553,John Hersey
554,John Fowles
555,Janine Myung Ja
556,Mark Z. Danielewski
557,Stephen King
558,Malcolm Gladwell
559,William Shakespeare
560,Tennessee Williams
561,Dave Ramsey
562,C.S. Lewis
563,Elizabeth Kostova
564,Donald Miller
565,James Redfield
566,Steve Snyder
567,Jojo Moyes
568,Robyn Mundell
569,Chuck Palahniuk
570,James W. Loewen
571,Ernest Cline
572,Isaac Asimov
573,E.M. Forster
574,Leif Enger
575,Ransom Riggs
576,Charles Bukowski
577,John Green
578,Simone de Beauvoir
579,Martin Luther King Jr.
580,John Steinbeck
581,Nicholas Evans
582,C.S. Lewis
583,Francine Rivers
584,Leon Uris
585,John Gunther
586,Donna Tartt
587,Christopher Paolini
588,Tom Robbins
589,Dodie Smith
590,Philip Pullman
591,Thomas Hardy
592,William Gibson
593,Robert A. Heinlein
594,Lynne Truss
595,V.C. Andrews
596,David Foster Wallace
597,Edith Wharton
598,William Makepeace Thackeray
599,Toni Morrison
600,Edith Wharton
601,Irvine Welsh
602,Art Spiegelman
603,Munro Leaf
604,Bret Easton Ellis
605,Brian Selznick
606,James Herriot
607,Thomas More
608,Muriel Barbery
609,Cassandra Clare
610,Annie Proulx
611,Ki Longfellow
612,Raymond Chandler
613,Stephen King
614,T.S. Eliot
615,Richelle Mead
616,Christopher Paolini
617,Cecelia Ahern
618,W. Somerset Maugham
619,Johann Wolfgang von Goethe
620,Stephen King
621,Carl Sagan
622,Euripides
623,Cassandra Clare
624,Arthur Conan Doyle
625,Rick Riordan
626,James Joyce
627,Veronica Roth
628,E.M. Forster
629,Art Rios
630,Jon Krakauer
631,John Howard Griffin
632,Kyle Keyes
633,William Faulkner
634,Scott Westerfeld
635,Gayle Forman
636,Ammar Habib
637,Stephen King
638,Jared Diamond
639,Jane Austen
640,Dave Eggers
641,E.L. James
642,Jorge Luis Borges
643,Gail Carson Levine
644,Forrest Carter
645,Aimee Cabo Nikolov
646,Malala Yousafzai
647,Albert Camus
648,Margaret Atwood
649,Terry Pratchett
650,Italo Calvino
651,Cormac McCarthy
652,Kiera Cass
653,Terry Pratchett
654,Laura Hillenbrand
655,Louisa May Alcott
656,Susanna Kaysen
657,Thomas Malory
658,Elisabeth Kubler-Ross
659,Chuck Dixon
660,Carl Bernstein
661,Tim LaHaye
662,John Steinbeck
663,Louis Sachar
664,Nevil Shute
665,Angie Thomas
666,Carl Sagan
667,Lemony Snicket
668,Gabriel F.W. Koch
669,Irma S. Rombauer
670,Kristin Hannah
671,James Frey
672,John Steinbeck
673,Naomi Klein
674,Gregory Dickow
675,Khaled Hosseini
676,George Orwell
677,Michael Ende
678,Nick Hornby
679,Kyle Keyes
680,Krishna-Dwaipayana Vyasa
681,GÃ¼nter Grass
682,Cassandra Clare
683,Peter S. Beagle
684,Ursula K. Le Guin
685,Rainbow Rowell
686,Philip K. Dick
687,Barbara Kingsolver
688,Yevgeny Zamyatin
689,Bev Stout
690,Nikos Kazantzakis
691,Neil Gaiman
692,Charles Baudelaire
693,Henri CharriÃ¨re
694,Markus Zusak
695,Evelyn Waugh
696,Robert T. Kiyosaki
697,Eckhart Tolle
698,Jeffrey Eugenides
699,Robert Graves
700,Clement Clarke Moore
701,Katherine Dunn
702,John Fowles
703,Jodi Picoult
704,Fredrik Backman
705,Tom Clancy
706,Richard Matheson
707,Abraham   Verghese
708,Walter Isaacson
709,Susanna Clarke
710,Dave Cullen
711,Barack Obama
712,Oliver Sacks
713,Michael G. Kramer
714,Dan Brown
715,Richard Yates
716,The Church of Jesus Christ of Latter-day Saints
717,Neil Gaiman
718,Edith Wharton
719,Mark Bowden
720,Brandon Sanderson
721,Alan Weisman
722,Neil Gaiman
723,Michael Cunningham
724,Eve Ensler
725,Caleb Carr
726,Jonathan Safran Foer
727,Walter M. Miller Jr.
728,Nelson Mandela
729,Daniel Mangena
730,Chaim Potok
731,Erich Segal
732,Tina Traverse
733,Pat Frank
734,Kenneth Jarrett Singleton
735,Madeleine L'Engle
736,Leo Tolstoy
737,Kate DiCamillo
738,Brandon Sanderson
739,Dan Simmons
740,Alexis de Tocqueville
741,Susan  Rowland
742,Neal Shusterman
743,Randy Loubier
744,P.D. Eastman
745,James   McBride
746,Neal Stephenson
747,Haruki Murakami
748,David McCullough
749,Kenneth Jarrett Singleton
750,Charles Dickens
751,Garth Nix
752,Walt Gleeson
753,Arthur C. Clarke
754,Olive Ann Burns
755,Nicole Krauss
756,Rick Riordan
757,Alan Brennert
758,George R.R. Martin
759,Stephen Crane
760,Rick Riordan
761,Robert Ludlum
762,C. Toni Graham
763,William Faulkner
764,Kristin Cashore
765,Koushun Takami
766,Barbara Kingsolver
767,Simon Sinek
768,Mary Norton
769,Afroz  Alam
770,Jakub Lasak
771,Yuehai Xiao
772,Gabriel GarcÃ­a MÃ¡rquez
773,Tom Sechrist
774,Rebecca Wells
775,Marcel Proust
776,Todd Burpo
777,Tom Sechrist
778,Edwin A. Abbott
779,Anne Rice
780,Gary Edward Gedall
781,William Shakespeare
782,Mary Doria Russell
783,Dave Eggers
784,Ammar Habib
785,Rhonda Byrne
786,Elizabeth Gaskell
787,Aldo Leopold
788,Kyle Keyes
789,J.D. Salinger
790,Hermann Hesse
791,Omar Farhad
792,Margaret Atwood
793,Tara Westover
794,Rohith S. Katbamna
795,Daniel Kahneman
796,T. Rafael Cimino
797,Victoria Dougherty
798,Ken Kesey
799,Delia Owens
800,Peter B. Forster
801,Deborah Leblanc
802,Kathleen Zamboni McCormick
803,Rick Riordan
804,Thomas  Harris
805,Joe   Hart
806,William Shakespeare
807,Louis de BerniÃ¨res
808,Gabriel F.W. Koch
809,David Wroblewski
810,Rainer Maria Rilke
811,Sebastian Faulks
812,Sam Conniff
813,Mildred D. Taylor
814,Tom Wolfe
815,Marjane Satrapi
816,Barbara W. Tuchman
817,A.S. Byatt
818,Philip K. Dick
819,Arthur Conan Doyle
820,John Irving
821,Madeline Miller
822,Ernest J. Gaines
823,Solomon Northup
824,Aimee Cabo Nikolov
825,Chris Cleave
826,Trevor Alan Foris
827,Andrew Clements
828,Henry Miller
829,Marissa Meyer
830,Michelle Browne
831,Dave Pelzer
832,Anne Morrow Lindbergh
833,Diana Gabaldon
834,Ken Follett
835,Sarah J. Maas
836,C.S. Lewis
837,Wendy E. Slater
838,Harold Phifer
839,Gillian Flynn
840,Kate DiCamillo
841,Anne  Willow
842,Libba Bray
843,E.M. Forster
844,Allen Ginsberg
845,Diana Gabaldon
846,Michael Zboray
847,Annie Dillard
848,Dr. Seuss
849,David Sedaris
850,Biao  Wang
851,Robert A. Heinlein
852,Patrick Ness
853,Benjamin Alire SÃ¡enz
854,Kirsten Fullmer
855,William S. Burroughs
856,Robert Munsch
857,Michael G. Kramer
858,IrÃ¨ne NÃ©mirovsky
859,Ally Condie
860,Anne Michaud
861,Paramahansa Yogananda
862,Diana Gabaldon
863,Maria Nhambu
864,Azar Nafisi
865,Paul Kalanithi
866,D.S.   Smith
867,Ray Bradbury
868,James Fenimore Cooper
869,Jeffrey Archer
870,Kate DiCamillo
871,Ruta Sepetys
872,Dennis Lehane
873,Vladimir Nabokov
874,Tom Wolfe
875,Nikolas Schreck
876,M.L. Stedman
877,Raoul Davis Jr.
878,Stephen King
879,Mark Helprin
880,Hilary Mantel
881,C. Toni Graham
882,Dan Brown
883,Hermann Hesse
884,Pernell Plath Meier
885,Henry David Thoreau
886,Barbara Kingsolver
887,Jane Smiley
888,Richard Dawkins
889,Wallace Stegner
890,John Grisham
891,Eugene O'Neill
892,Tina Fey
893,Justin Cronin
894,Tracy Kidder
895,Anne BrontÃ«
896,Sharon Creech
897,Carol S. Dweck
898,Ernesto Che Guevara
899,Diana Gabaldon
900,Napoleon Hill
901,Martin Heidegger
902,Richard  Polak
903,Ellen Raskin
904,Stephen Douglass
905,Dr. Seuss
906,Shannon Hale
907,W. Somerset Maugham
908,Robert Fulghum
909,Steve  Pemberton
910,Orson Scott Card
911,Peter Benchley
912,Edward Abbey
913,Stendhal
914,Unknown
915,Ø³ÛŒØ¯ Ù…Ø±ØªØ¶ÛŒ Ù…ØµØ·ÙÙˆÛŒ
916,Dorothy Allison
917,Carolyn Keene
918,Adam Smith
919,Jasper Fforde
920,Aravind Adiga
921,Michael Pollan
922,Veronica Roth
923,StanisÅ‚aw Lem
924,Jean-Paul Sartre
925,Ã‰mile Zola
926,Lawrence Hill
927,Karen Glista
928,Thomas Mann
929,Dean Koontz
930,Thomas Hardy
931,Ted Bernal Guevara
932,John Steinbeck
933,Dennis Lehane
934,C.S. Lewis
935,Robert Frost
936,Boris Pronsky
937,Dashiell Hammett
938,Rudyard Kipling
939,Nicholas Sparks
940,Patrick Rothfuss
941,Ayn Rand
942,Fynn
943,Suzanne Boisvert
944,Octavia E. Butler
945,Marjorie Kinnan Rawlings
946,Philip K. Dick
947,Jean M. Auel
948,Charles Dickens
949,Esther Forbes
950,Catherine Marshall
951,Ishmael Beah
952,Cassandra Clare
953,Italo Calvino
954,Watty Piper
955,John Elder Robison
956,Stephen King
957,Pittacus Lore
958,Misty Mount
959,Jana Petken
960,Lloyd C. Douglas
961,Paullina Simons
962,Misty Mount
963,Martha Emms
964,John le CarrÃ©
965,Eric Carle
966,Cassandra Clare
967,Chuck Palahniuk
968,Rom LcO'Feer
969,Stephanie Perkins
970,Augusten Burroughs
971,WÅ‚adysÅ‚aw Szpilman
972,Herman Wouk
973,Sherman Alexie
974,Cheryl Strayed
975,Christine M. Knight
976,John Green
977,George Bernard Shaw
978,Nicholas Sparks
979,Linda    Armstrong
980,Susan Scott
981,Betty Mahmoody
982,Charles Duhigg
983,Simon W. Clark
984,L.M. Montgomery
985,Philip Gourevitch
986,Barry Kirwan
987,Rumi
988,Vincent Panettiere
989,Jack Getze
990,Andrew  Davidson
991,Zack Love
992,Irving Stone
993,Kenneth Jarrett Singleton
994,Ursula Hegi
995,Graham Greene
996,Wilkie Collins
997,Chuck Palahniuk
998,Louise Fitzhugh
999,M.R. Noble
1000,Walter Farley
1001,Barbara W. Tuchman
1002,Greg Behrendt
1003,Jerome K. Jerome
1004,Robin Waterfield
1005,Mary  Stewart
1006,Thomas L. Friedman
1007,Alexander Drake
1008,Kathleen Grissom
1009,Bret Easton Ellis
1010,Richard Bachman
1011,Kenneth Jarrett Singleton
1012,Judith Guest
1013,Kirsten Fullmer
1014,John  Gray
1015,Gillian Flynn
1016,Frank Miller
1017,David Sedaris
1018,Billie Letts
1019,Ursula K. Le Guin
1020,Bill Watterson
1021,Curtis L. Jenkins
1022,Graham Greene
1023,Geraldine Brooks
1024,Frederick Forsyth
1025,Andrew Seaward
1026,Heath Sommer
1027,Richard P. Feynman
1028,John Stuart Mill
1029,Harriet Ann Jacobs
1030,Friedrich Nietzsche
1031,Richard   Preston
1032,Fyodor Dostoevsky
1033,Emem Uko
1034,Hubert Selby Jr.
1035,Stephen King
1036,Anonymous
1037,Robert Penn Warren
1038,Chimamanda Ngozi Adichie
1039,Chimamanda Ngozi Adichie
1040,Ron Garan
1041,Marcus Luttrell
1042,Vikram Suryawanshi
1043,Andrew  Wyatt
1044,Stephen King
1045,Stephen Douglass
1046,Fred Misurella
1047,Sam Harris
1048,Pablo Neruda
1049,Abraham Lincoln
1050,Michael Crichton
1051,Julio CortÃ¡zar
1052,Samantha   Hart
1053,Ovid
1054,Thich Nhat Hanh
1055,Ray Dalio
1056,Thomas Pynchon
1057,Carl Sagan
1058,Nancy E. Turner
1059,Stephen King
1060,Albert Camus
1061,Janine Vance
1062,Paul Auster
1063,Max Nowaz
1064,Stephen E. Ambrose
1065,Leigh Bardugo
1066,Charles Dyson
1067,Joanne Harris
1068,Jennifer Niven
1069,Lucian Bane
1070,Anne Lamott
1071,Charles Dickens
1072,Jen Sincero
1073,John Patrick Kennedy
1074,Robert Bolt
1075,Piers Paul Read
1076,Brian Greene
1077,Robert C. O'Brien
1078,J.R. Ward
1079,Hubert Selby Jr.
1080,John  Williams
1081,Jim Fergus
1082,Max Lucado
1083,Alfred Lansing
1084,Fred Misurella
1085,Lauren Kate
1086,Marquis de Sade
1087,Dan Brown
1088,Bret Easton Ellis
1089,Matthew Walker
1090,Madeline Miller
1091,Julia Cameron
1092,Chimamanda Ngozi Adichie
1093,Nelou Keramati
1094,Terry Goodkind
1095,Barbara Kingsolver
1096,Malorie Blackman
1097,Behcet Kaya
1098,Christine M. Knight
1099,Paulo Coelho
1100,John Ajvide Lindqvist
1101,Robin S. Sharma
1102,Gail Honeyman
1103,Al Gore
1104,Irvine Welsh
1105,Mark M. Bello
1106,Bill Mesce Jr.
1107,John Green
1108,John Wyndham
1109,Dean Koontz
1110,Victoria Aveyard
1111,J.G. Ballard
1112,Henrik Ibsen
1113,Marie Lu
1114,Paul Cude
1115,Michael G. Kramer
1116,J.K. Franko
1117,Charlotte Perkins Gilman
1118,J.G. Ballard
1119,Kirsten Fullmer
1120,Tom Robbins
1121,Rick Riordan
1122,Cassandra Clare
1123,Hanya Yanagihara
1124,Timothy Ferriss
1125,Kurt Vonnegut Jr.
1126,Robert Greene
1127,Sharon Carter
1128,Edward Rutherfurd
1129,Zoltan Andrejkovics
1130,Dan Millman
1131,Hunter S. Thompson
1132,Ernest Hemingway
1133,Cassandra Clare
1134,S.J. Watson
1135,Kenneth   Thomas
1136,Ann Rule
1137,Louise L. Hay
1138,Stephen E. Ambrose
1139,H.G. Wells
1140,Don DeLillo
1141,Becca Fitzpatrick
1142,Kirsten Fullmer
1143,Shirley Jackson
1144,David McCullough
1145,Jim Kwik
1146,C.S. Lewis
1147,Alissa Nutting
1148,Edward S. Herman
1149,Giovanni Boccaccio
1150,Aldous Huxley
1151,Linda Masemore Pirrung
1152,Mark Manson
1153,Iris Chang
1154,Robert Iger
1155,Chuck Palahniuk
1156,Jean Rhys
1157,Charles Bukowski
1158,Walter Isaacson
1159,Harvey Havel
1160,Thomas J. Stanley
1161,James Baldwin
1162,Michael Crichton
1163,Scott Lynch
1164,Richard Matheson
1165,Lynessa James
1166,Joe Haldeman
1167,Rick Riordan
1168,Jean M. Auel
1169,Aldous Huxley
1170,Peter Singer
1171,Bryan Stevenson
1172,Jenna Blum
1173,Thomas Hardy
1174,Simon Winchester
1175,Thomas Paine
1176,James C. Collins
1177,Jhumpa Lahiri
1178,Mikhail Bulgakov
1179,Neal Stephenson
1180,Ellen Hopkins
1181,Steve  Bates
1182,Gina Buonaguro
1183,MoliÃ¨re
1184,Daniel H. Pink
1185,Joseph Campbell
1186,Patrick Ness
1187,Adam Hochschild
1188,Nick Cave
1189,Chuck Klosterman
1190,John Richard Spencer
1191,Frantz Fanon
1192,Dan Brown
1193,L.C. Conn
1194,John Jakes
1195,Carlo Collodi
1196,Michael Bungay Stanier
1197,Ivan Turgenev
1198,Kami Garcia
1199,John Grisham
1200,Nicholas Sparks
1201,Sophocles
1202,Robert Louis Stevenson
1203,George Orwell
1204,Martin Amis
1205,Malcolm McCoard
1206,Kenneth Jarrett Singleton
1207,Ian McEwan
1208,John Berger
1209,Will Holcomb
1210,Behcet Kaya
1211,Rudyard Kipling
1212,Irvine Welsh
1213,Hermann Hesse
1214,Edith Hamilton
1215,Ed Catmull
1216,S.G. Blaise
1217,Haruki Murakami
1218,Malcolm McCoard
1219,Ammar Habib
1220,James Patterson
1221,David Nicholls
1222,John le CarrÃ©
1223,Yuval Noah Harari
1224,Lynessa Layne
1225,Arthur Koestler
1226,Lucy Pireel
